UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_Rolling_Mean,Air temperature [K]_Volatility,Air temperature [K]_Delta,Process temperature [K]_Rolling_Mean,Process temperature [K]_Volatility,Process temperature [K]_Delta,Rotational speed [rpm]_Rolling_Mean,Rotational speed [rpm]_Volatility,Rotational speed [rpm]_Delta,Torque [Nm]_Rolling_Mean,Torque [Nm]_Volatility,Torque [Nm]_Delta,Tool wear [min]_Rolling_Mean,Tool wear [min]_Volatility,Tool wear [min]_Delta,Air temperature [K]_Rolling_Delta,Process temperature [K]_Rolling_Delta,Rotational speed [rpm]_Rolling_Delta,Torque [Nm]_Rolling_Delta,Tool wear [min]_Rolling_Delta
606,M15465,M,297.9,309.8,1693,29.9,35,0,0,0,0,0,0,297.9,0.0,0.0,309.8,0.07071067811865164,-0.0999999999999659,1753.0,345.5068740271311,151.0,34.67999999999999,21.710757702116233,-3.8999999999999986,31.0,3.162277660169242,2.0,0.01999999999999318,0.02000000000000455,29.2,-1.479999999999999,2.0
607,L47786,L,297.9,309.8,1461,50.5,38,0,0,0,0,0,0,297.9,0.0,0.0,309.82,0.044721359550008985,0.0,1606.4,255.35524275017312,-232.0,41.42,19.930303560156815,20.6,33.2,3.492849839315377,3.0,0.0,0.02000000000000455,-146.6,6.74,2.2
608,M15467,M,298.0,309.9,1565,33.9,40,0,0,0,0,0,0,297.91999999999996,0.044721359557537047,0.10000000000002274,309.84000000000003,0.05477225575055164,0.0999999999999659,1519.4,132.07308582750633,104.0,43.94,17.38427450312493,-16.6,35.4,3.646916505762841,2.0,0.02000000000000455,0.01999999999999318,-87.0,2.5200000000000005,2.2
609,L47788,L,298.0,309.9,1403,47.7,43,0,0,0,0,0,0,297.93999999999994,0.05477225575670606,0.0,309.86,0.05477225575058667,0.0,1532.8,110.44093444008814,-162.0,39.160000000000004,9.269196297414327,13.800000000000004,37.8,3.9623225512324782,3.0,0.02000000000000455,0.01999999999999318,13.4,-4.7799999999999985,2.4
610,L47789,L,298.1,309.9,1629,32.5,45,0,0,0,0,0,0,297.98,0.08366600265749499,0.10000000000002274,309.86,0.05477225575058667,0.0,1550.2,118.79057201646874,226.0,38.9,9.473119866232004,-15.200000000000003,40.2,3.9623225512324782,2.0,0.0400000000000091,0.0,17.4,-0.25999999999999945,2.4
611,L47790,L,298.1,310.0,1534,33.7,47,0,0,0,0,0,0,298.02,0.08366600265751707,0.0,309.9,0.07071067811877474,0.10000000000002274,1518.4,88.40135745564005,-95.0,39.660000000000004,8.690684668079925,1.2000000000000028,42.6,3.646916505762841,2.0,0.0400000000000091,0.039999999999997725,-31.8,0.7600000000000009,2.4
612,L47791,L,298.1,310.0,1553,40.9,49,0,0,0,0,0,0,298.06000000000006,0.05477225575681372,0.0,309.93999999999994,0.05477225575074753,0.0,1536.8,82.86857064050184,19.0,37.74,6.475183395086148,7.199999999999996,44.8,3.492849839315377,2.0,0.0400000000000091,0.039999999999997725,18.4,-1.9200000000000004,2.2
613,L47792,L,298.1,309.9,1563,32.8,51,0,0,0,0,0,0,298.08000000000004,0.044721359557742785,0.0,309.93999999999994,0.05477225575074753,-0.10000000000002274,1536.4,82.7030833766181,10.0,37.519999999999996,6.654472180421177,-8.100000000000001,47.0,3.162277660169242,2.0,0.02000000000000455,0.0,-0.4,-0.22000000000000028,2.2
614,L47793,L,298.1,309.9,1634,30.0,53,0,0,0,0,0,0,298.1,0.0,0.0,309.93999999999994,0.05477225575074753,0.0,1582.6,45.87264980355769,71.0,33.98,4.104509714935415,-2.799999999999997,49.0,3.162277660169242,2.0,0.02000000000000455,0.0,46.2,-3.5400000000000005,2.0
615,M15474,M,298.0,309.9,1445,45.2,55,0,0,0,0,0,0,298.08000000000004,0.044721359557742785,-0.10000000000002274,309.93999999999994,0.05477225575074753,0.0,1545.8,67.87267491413492,-189.0,36.519999999999996,6.301349061907246,15.200000000000003,51.0,3.162277660169242,2.0,-0.02000000000000455,0.0,-36.8,2.5400000000000005,2.0
616,L47795,L,298.1,309.9,1642,30.4,58,0,0,0,0,0,0,298.08000000000004,0.044721359557742785,0.10000000000002274,309.91999999999996,0.04472135955025605,0.0,1567.4,79.38702664793435,197.0,35.86,6.821876574667655,-14.800000000000004,53.2,3.492849839315377,3.0,0.0,-0.02000000000000455,21.6,-0.6600000000000008,2.2
617,H30030,H,298.1,309.9,1686,29.1,60,0,0,0,0,0,0,298.08000000000004,0.044721359557742785,0.0,309.9,0.0,0.0,1594.0,94.24701586787688,44.0,33.5,6.682065548915187,-1.2999999999999972,55.4,3.646916505762841,2.0,0.0,-0.02000000000000455,26.6,-2.3599999999999994,2.2
618,M15477,M,298.1,310.0,1393,43.1,65,0,0,0,0,0,0,298.08000000000004,0.044721359557742785,0.0,309.91999999999996,0.04472135955025605,0.10000000000002274,1560.0,131.51996046228055,-293.0,35.56,7.890690717548071,14.0,58.2,4.658325879541431,5.0,0.0,0.02000000000000455,-34.0,2.060000000000001,2.8
619,H30032,H,298.2,310.0,1433,44.2,68,0,0,0,0,0,0,298.1,0.07071067812356202,0.0999999999999659,309.93999999999994,0.05477225575074753,0.0,1519.8,133.94289828131926,40.0,38.4,7.9444949493343735,1.1000000000000014,61.2,5.263078946776823,3.0,0.01999999999999318,0.02000000000000455,-40.2,2.8400000000000007,3.0
620,L47799,L,298.3,310.0,1507,44.7,73,0,0,0,0,0,0,298.15999999999997,0.08944271910390893,0.10000000000002274,309.9599999999999,0.05477225575077088,0.0,1532.2,128.02616919989381,74.0,38.3,7.839961734600455,0.5,64.8,6.0580524923448325,5.0,0.060000000000002274,0.02000000000000455,12.4,-0.1,3.6
621,M15480,M,298.3,310.1,1389,49.6,75,0,0,0,0,0,0,298.2,0.10000000000352466,0.0,310.0,0.07071067811890386,0.10000000000002274,1481.6,123.70448657991284,-118.0,42.14,7.704089822944658,4.899999999999999,68.2,6.0580524923448325,2.0,0.039999999999997725,0.0400000000000091,-50.6,3.8400000000000007,3.4
622,L47801,L,298.3,310.1,1408,45.3,78,0,0,0,0,0,0,298.24000000000007,0.0894427191039562,0.0,310.03999999999996,0.05477225575088505,0.0,1426.0,48.45616575834111,19.0,45.38,2.4933912649240417,-4.300000000000004,71.8,5.263078946776823,3.0,0.039999999999997725,0.0400000000000091,-55.6,3.2399999999999993,3.6
623,M15482,M,298.4,310.2,1725,32.0,80,0,0,0,0,0,0,298.3,0.07071067812373183,0.0999999999999659,310.08,0.08366600265366132,0.0999999999999659,1492.4,137.53108739481348,317.0,43.160000000000004,6.596438432972713,-13.299999999999997,74.8,4.65832587954143,2.0,0.05999999999999091,0.039999999999997725,66.4,-2.22,3.0
624,L47803,L,298.4,310.1,1926,23.7,83,0,0,0,0,0,0,298.34,0.05477225575711014,0.0,310.1,0.07071067811896264,-0.0999999999999659,1591.0,229.9619533749003,201.0,39.06,10.812169070080223,-8.3,77.8,3.962322551232478,3.0,0.039999999999997725,0.02000000000000455,98.6,-4.1000000000000005,3.0
625,H30038,H,298.3,310.1,1509,37.6,85,0,0,0,0,0,0,298.34000000000003,0.05477225575711014,-0.0999999999999659,310.12,0.04472135955050074,0.0,1591.4,229.7809826769827,-417.0,37.64,10.342291815647023,13.900000000000002,80.2,3.962322551232478,2.0,0.0,0.02000000000000455,0.4,-1.4200000000000004,2.4
626,L47805,L,298.3,310.1,1545,36.3,90,0,0,0,0,0,0,298.34000000000003,0.05477225575711014,0.0,310.12,0.04472135955050074,0.0,1622.6,204.6443255993183,36.0,34.980000000000004,7.925086750313801,-1.3000000000000043,83.2,4.65832587954143,5.0,0.0,0.0,31.2,-2.660000000000001,3.0
627,L47806,L,298.4,310.1,1533,35.2,92,0,0,0,0,0,0,298.36,0.05477225575714516,0.0999999999999659,310.12,0.04472135955050074,0.0,1647.6,177.74082254788797,-12.0,32.96,5.576109755017321,-1.0999999999999943,86.0,4.949747468306382,2.0,0.01999999999999318,0.0,25.0,-2.0199999999999987,2.8
628,L47807,L,298.4,310.1,1455,42.2,94,0,0,0,0,0,0,298.36,0.05477225575714516,0.0,310.1,0.0,0.0,1593.6,189.00476184477415,-78.0,35.0,6.85601925318179,7.0,88.8,4.65832587954143,2.0,0.0,-0.01999999999999318,-54.0,2.0400000000000005,2.8
629,M15488,M,298.4,310.1,1335,57.8,96,0,0,0,0,0,0,298.36,0.05477225575714516,0.0,310.1,0.0,0.0,1475.4,85.76013059691428,-120.0,41.82000000000001,9.322124221442207,15.599999999999994,91.4,4.219004621946441,2.0,0.0,0.0,-118.2,6.8199999999999985,2.6
630,L47809,L,298.3,310.1,1523,45.9,99,0,0,0,0,0,0,298.36,0.05477225575714516,-0.0999999999999659,310.1,0.0,0.0,1478.2,87.34529180213318,188.0,43.48,9.119594289221396,-11.899999999999999,94.2,3.4928498393153715,3.0,0.0,0.0,2.8,1.6599999999999995,2.8
631,L47810,L,298.3,310.0,1460,47.6,101,0,0,0,0,0,0,298.36,0.05477225575714516,0.0,310.08000000000004,0.04472135955043083,-0.10000000000002274,1461.2,78.96328260653678,-63.0,45.739999999999995,8.254574489336171,1.7000000000000028,96.4,3.6469165057628348,2.0,0.0,-0.02000000000000455,-17.0,2.2600000000000007,2.2
632,L47811,L,298.4,310.0,1554,37.3,103,0,0,0,0,0,0,298.36,0.05477225575714516,0.0999999999999659,310.06000000000006,0.05477225575084353,0.0,1465.4,84.12669017618482,94.0,46.160000000000004,7.612686779317767,-10.300000000000004,98.6,3.6469165057628348,2.0,0.0,-0.02000000000000455,4.2,0.4199999999999989,2.2
633,H30046,H,298.3,310.0,1419,47.1,105,0,0,0,0,0,0,298.34000000000003,0.05477225575711014,-0.0999999999999659,310.04,0.05477225575082018,0.0,1458.2,86.73926446540686,-135.0,47.14,7.283749034666114,9.800000000000004,100.8,3.4928498393153715,2.0,-0.01999999999999318,-0.02000000000000455,-7.2,0.9799999999999998,2.2
634,L47813,L,298.3,310.0,1442,43.9,110,0,0,0,0,0,0,298.32000000000005,0.04472135955804146,0.0,310.02000000000004,0.04472135955034503,0.0,1479.6,56.76530630587481,23.0,44.36,4.19618874694639,-3.200000000000003,103.6,4.219004621946441,5.0,-0.01999999999999318,-0.02000000000000455,21.4,-2.78,2.8
635,L47814,L,298.3,309.9,1507,41.6,112,0,0,0,0,0,0,298.32,0.04472135955804146,0.0,309.97999999999996,0.04472135955034503,-0.10000000000002274,1476.4,54.095286301116744,65.0,43.5,4.242051390542023,-2.299999999999997,106.2,4.65832587954143,2.0,0.0,-0.0400000000000091,-3.2,-0.8599999999999994,2.6
636,L47815,L,298.3,310.0,1858,23.9,114,0,0,0,0,0,0,298.32,0.04472135955804146,0.0,309.97999999999996,0.04472135955034503,0.10000000000002274,1556.0,177.04095571364212,351.0,38.76,9.041460059083349,-17.700000000000003,108.8,4.65832587954143,2.0,0.0,0.0,79.6,-4.74,2.6
637,L47816,L,298.3,309.9,1463,43.9,116,0,0,0,0,0,0,298.3,0.0,0.0,309.96,0.05477225575082018,-0.10000000000002274,1537.8,181.90849347955083,-395.0,40.08,9.254296299557275,20.0,111.4,4.219004621946441,2.0,-0.01999999999999318,-0.02000000000000455,-18.2,1.3200000000000003,2.6
638,L47817,L,298.2,309.7,1585,37.4,118,0,0,0,0,0,0,298.28000000000003,0.04472135955801287,-0.10000000000002274,309.9,0.12247448713932159,-0.19999999999998863,1571.0,169.53318259267058,122.0,38.14,8.391245437954932,-6.5,114.0,3.1622776601692366,2.0,-0.02000000000000455,-0.060000000000002274,33.2,-1.9400000000000006,2.6
639,L47818,L,298.0,309.6,1536,37.3,120,0,0,0,0,0,0,298.21999999999997,0.13038404810678864,-0.19999999999998863,309.82,0.16431676725169006,-0.0999999999999659,1589.8,156.35120722271316,-49.0,36.82,7.75351533177045,-0.10000000000000142,116.0,3.1622776601692366,2.0,-0.060000000000002274,-0.07999999999999545,18.8,-1.3200000000000003,2.0
640,L47819,L,298.0,309.6,1403,51.3,122,0,0,0,0,0,0,298.16,0.15165750888336008,0.0,309.76000000000005,0.1816590212459948,0.0,1569.0,175.8251972841202,-133.0,38.760000000000005,10.105345120281616,14.0,118.0,3.1622776601692366,2.0,-0.060000000000002274,-0.05999999999999091,-20.8,1.939999999999999,2.0
641,M15500,M,297.9,309.6,1515,38.8,124,0,0,0,0,0,0,298.08,0.16431676725367322,-0.10000000000002274,309.68,0.13038404810428528,0.0,1500.4,69.86272253498133,112.0,41.739999999999995,5.984396377246373,-12.5,120.0,3.1622776601692366,2.0,-0.08000000000000682,-0.07999999999999545,-68.6,2.9799999999999995,2.0
642,L47821,L,297.9,309.5,1390,47.9,127,0,0,0,0,0,0,298.0,0.12247448714195354,0.0,309.6,0.07071067811921584,-0.10000000000002274,1485.8,85.50847911172194,-125.0,42.54,6.58278056751093,9.100000000000001,122.2,3.4928498393153715,3.0,-0.08000000000000682,-0.07999999999999545,-14.6,0.8,2.2
643,M15502,M,297.8,309.4,1226,58.7,129,0,0,0,0,0,0,297.92,0.08366600265743854,-0.0999999999999659,309.5400000000001,0.08944271910051588,-0.10000000000002274,1414.0,123.61836433151745,-164.0,46.8,8.906739021662172,10.800000000000004,124.4,3.6469165057628348,2.0,-0.07999999999999545,-0.060000000000002274,-71.8,4.260000000000001,2.2
644,M15503,M,297.8,309.4,1495,36.5,132,0,0,0,0,0,0,297.88,0.08366600265742324,0.0,309.5,0.10000000000050582,0.0,1405.8,114.52816247543565,269.0,46.64,9.12458218221523,-22.200000000000003,126.8,3.9623225512324716,3.0,-0.039999999999997725,-0.0400000000000091,-8.2,-0.15999999999999942,2.4
645,H30058,H,297.7,309.4,1608,30.2,135,0,0,0,0,0,0,297.82000000000005,0.08366600265743344,-0.10000000000002274,309.46000000000004,0.0894427191005858,0.0,1446.8,145.72130935453396,113.0,42.42,11.096711224502492,-6.300000000000001,129.4,4.277849927242118,3.0,-0.060000000000002274,-0.0400000000000091,41.0,-4.22,2.6
646,L47825,L,297.7,309.4,1392,44.1,140,0,0,0,0,0,0,297.78000000000003,0.08366600265744872,0.0,309.41999999999996,0.04472135955122042,0.0,1422.2,141.65521522344238,-216.0,43.480000000000004,10.916134847096732,13.900000000000002,132.6,5.12835256198376,5.0,-0.039999999999997725,-0.0400000000000091,-24.6,1.060000000000001,3.2
647,M15506,M,297.7,309.4,1461,43.7,142,0,0,0,0,0,0,297.73999999999995,0.05477225575674435,0.0,309.4,0.0,0.0,1436.4,141.178256116159,69.0,42.64,10.649319227067974,-0.3999999999999986,135.6,5.412947441090243,2.0,-0.039999999999997725,-0.02000000000000455,14.2,-0.8399999999999992,3.0
648,L47827,L,297.7,309.3,1559,36.9,145,0,0,0,0,0,0,297.71999999999997,0.04472135955765782,0.0,309.38,0.04472135955129032,-0.0999999999999659,1503.0,84.1278788511857,98.0,38.28,5.779446340264747,-6.800000000000004,138.8,5.263078946776821,3.0,-0.02000000000000455,-0.01999999999999318,66.6,-4.360000000000001,3.2
649,H30062,H,297.7,309.3,1400,48.9,147,0,0,0,0,0,0,297.7,0.0,0.0,309.36,0.054772255751597845,0.0,1484.0,96.24188277459963,-159.0,40.760000000000005,7.288209656698934,12.0,141.8,4.658325879541422,2.0,-0.02000000000000455,-0.01999999999999318,-19.0,2.4799999999999995,3.0
650,M15509,M,297.7,309.2,1732,28.8,152,0,0,0,0,0,0,297.7,0.0,0.0,309.32000000000005,0.08366600265415854,-0.10000000000002274,1508.8,141.51219028762074,332.0,40.480000000000004,7.8039733469559955,-20.099999999999998,145.2,4.658325879541422,5.0,0.0,-0.039999999999997725,24.8,-0.2799999999999997,3.4
651,L47830,L,297.6,309.2,1611,33.1,155,0,0,0,0,0,0,297.68,0.04472135955775632,-0.0999999999999659,309.28000000000003,0.0836660026541959,0.0,1552.6,129.7239376522305,-121.0,38.28,8.074156302673336,4.300000000000001,148.2,5.263078946776821,3.0,-0.01999999999999318,-0.039999999999997725,43.8,-2.2,3.0
652,L47831,L,297.6,309.1,1503,38.9,157,0,0,0,0,0,0,297.66,0.05477225575691104,0.0,309.21999999999997,0.08366600265422902,-0.0999999999999659,1561.0,123.52125323198347,-108.0,37.32,7.536046708984726,5.799999999999997,151.2,5.118593556828424,2.0,-0.01999999999999318,-0.05999999999999091,8.4,-0.9600000000000009,3.0
653,L47832,L,297.7,309.2,1391,44.5,159,0,0,0,0,0,0,297.65999999999997,0.05477225575691104,0.0999999999999659,309.2,0.07071067811963436,0.0999999999999659,1527.4,145.15612284709107,-112.0,38.84,8.169944920254943,5.600000000000001,154.0,4.690415759824013,2.0,0.0,-0.02000000000000455,-33.6,1.5200000000000002,2.8
654,L47833,L,297.8,309.3,2015,20.1,161,0,0,0,0,0,0,297.68,0.08366600265754597,0.10000000000002274,309.2,0.07071067811963436,0.10000000000002274,1650.4,239.87455054673845,624.0,33.08,9.36867119713353,-24.4,156.8,3.4928498393153777,2.0,0.02000000000000455,0.0,123.0,-5.76,2.8
655,L47834,L,297.8,309.2,1683,30.9,163,0,0,0,0,0,0,297.70000000000005,0.10000000000341419,0.0,309.2,0.07071067811963436,-0.10000000000002274,1640.6,236.6871352651001,-332.0,33.5,9.17387595294374,10.799999999999997,159.0,3.1622776601692397,2.0,0.02000000000000455,0.0,-9.8,0.4199999999999996,2.2
656,L47835,L,297.7,309.1,1435,38.8,165,0,0,0,0,0,0,297.71999999999997,0.08366600265743386,-0.10000000000002274,309.18,0.0836660026542443,-0.0999999999999659,1605.4,254.59929300765899,-248.0,34.64,9.461395245945464,7.899999999999999,161.0,3.1622776601692397,2.0,0.01999999999999318,-0.01999999999999318,-35.2,1.1399999999999992,2.0
657,M15516,M,297.7,309.1,1732,28.1,167,0,0,0,0,0,0,297.74,0.05477225575659451,0.0,309.18,0.0836660026542443,0.0,1651.2,252.15907677495923,297.0,32.48,9.478501991348601,-10.699999999999996,163.0,3.1622776601692397,2.0,0.01999999999999318,0.0,45.8,-2.1599999999999993,2.0
658,L47837,L,297.7,309.2,1365,58.6,170,0,0,0,0,0,0,297.74,0.05477225575659451,0.0,309.18,0.0836660026542443,0.0999999999999659,1646.0,259.0405373681883,-367.0,35.3,14.640525946836728,30.5,165.2,3.4928498393153777,3.0,0.0,0.0,-5.2,2.8200000000000003,2.2
659,L47838,L,297.7,309.1,1562,36.8,172,0,0,0,0,0,0,297.72,0.044721359557544214,0.0,309.14,0.05477225575184951,-0.0999999999999659,1555.4,156.73321281719385,197.0,38.64,11.96674558934047,-21.800000000000004,167.4,3.646916505762843,2.0,-0.02000000000000455,-0.039999999999997725,-90.6,3.339999999999999,2.2
660,L47839,L,297.6,309.1,1449,49.1,174,0,0,0,0,0,0,297.67999999999995,0.04472135955776983,-0.0999999999999659,309.12,0.04472135955168434,0.0,1508.6,143.48275157662604,-113.0,42.279999999999994,11.790547061099401,12.300000000000004,169.6,3.646916505762843,2.0,-0.039999999999997725,-0.01999999999999318,-46.8,3.6400000000000006,2.2
661,M15520,M,297.7,309.2,1700,27.4,176,0,0,0,0,0,0,297.67999999999995,0.04472135955776983,0.0999999999999659,309.14,0.05477225575184951,0.0999999999999659,1561.6,157.73490419054303,251.0,40.0,13.595771401432124,-21.700000000000003,171.8,3.4928498393153777,2.0,0.0,0.01999999999999318,53.0,-2.28,2.2
662,M15521,M,297.6,309.0,1427,45.6,179,0,0,0,0,0,0,297.66,0.05477225575696878,-0.0999999999999659,309.12,0.08366600265430035,-0.19999999999998863,1500.6,132.2849197754596,-273.0,43.5,11.915116449284067,18.200000000000003,174.2,3.4928498393153777,3.0,-0.01999999999999318,-0.02000000000000455,-61.0,3.5,2.4
663,M15522,M,297.6,308.9,1479,38.1,182,0,0,0,0,0,0,297.64,0.054772255757084234,0.0,309.06000000000006,0.11401754251062078,-0.10000000000002274,1523.4,111.21735476084561,52.0,39.4,8.440675328431938,-7.5,176.6,3.974921382871048,3.0,-0.01999999999999318,-0.060000000000002274,22.8,-4.1,2.4
664,L47843,L,297.5,308.9,1469,44.0,185,0,0,0,0,0,0,297.6,0.07071067812393234,-0.10000000000002274,309.02,0.13038404810469398,0.0,1504.8,110.92429851028938,-10.0,40.84,8.500176468756377,5.899999999999999,179.2,4.4384682042350505,3.0,-0.039999999999997725,-0.0400000000000091,-18.6,1.4400000000000006,2.6
665,L47844,L,297.5,308.9,1390,47.4,187,0,0,0,0,0,0,297.58000000000004,0.0836660026579447,0.0,308.98,0.13038404810470816,0.0,1493.0,121.02272513871016,-79.0,40.5,8.112336284942804,3.3999999999999986,181.8,4.4384682042350505,2.0,-0.02000000000000455,-0.0400000000000091,-11.8,-0.3400000000000006,2.6
666,L47845,L,297.5,308.9,1729,28.1,189,0,0,0,0,0,0,297.54,0.05477225575770951,0.0,308.91999999999996,0.04472135955194727,0.0,1498.8,133.47733890065308,339.0,40.64,7.830900331379504,-19.299999999999997,184.4,3.974921382871048,2.0,-0.039999999999997725,-0.060000000000002274,5.8,0.14000000000000057,2.6
667,L47846,L,297.5,309.0,1470,43.5,191,0,0,0,0,0,0,297.52,0.04472135955896701,0.0,308.91999999999996,0.04472135955194727,0.10000000000002274,1507.4,129.00503866128562,-259.0,40.220000000000006,7.549635752802887,15.399999999999999,186.8,3.4928498393153777,2.0,-0.02000000000000455,0.0,8.6,-0.42000000000000026,2.4
668,L47847,L,297.5,308.9,1459,48.5,193,0,0,0,0,0,0,297.5,0.0,0.0,308.91999999999996,0.04472135955194727,-0.10000000000002274,1503.4,130.40820526331845,-11.0,42.3,8.222225975975102,5.0,189.0,3.1622776601692397,2.0,-0.02000000000000455,0.0,-4.0,2.0799999999999996,2.2
669,L47848,L,297.5,308.9,1738,24.0,195,0,0,0,0,0,0,297.5,0.0,0.0,308.91999999999996,0.04472135955194727,0.0,1557.2,163.86488336431267,279.0,38.3,11.42825445989017,-24.5,191.0,3.1622776601692397,2.0,0.0,0.0,53.8,-4.0,2.0
670,H30083,H,297.5,308.9,1471,37.7,197,0,0,0,0,0,0,297.5,0.0,0.0,308.91999999999996,0.04472135955194727,0.0,1573.4,146.26106795726537,-267.0,36.36,10.26099410388679,13.700000000000003,193.0,3.1622776601692397,2.0,0.0,0.0,16.2,-1.939999999999999,2.0
671,L47850,L,297.6,309.0,1822,25.4,202,0,0,0,0,0,0,297.52,0.04472135955893841,0.10000000000002274,308.94,0.05477225575210506,0.10000000000002274,1592.0,174.23403800635455,351.0,35.82,10.858038496892496,-12.300000000000004,195.6,4.219004621946444,5.0,0.02000000000000455,0.02000000000000455,18.6,-0.5400000000000006,2.6
672,L47851,L,297.5,308.9,1554,34.8,204,0,0,0,0,0,0,297.52,0.04472135955893841,-0.10000000000002274,308.91999999999996,0.04472135955194727,-0.10000000000002274,1608.8,163.2320434228519,-268.0,34.08,9.98133257636471,9.399999999999999,198.2,4.658325879541435,2.0,0.0,-0.02000000000000455,16.8,-1.7400000000000007,2.6
673,M15532,M,297.6,308.9,1433,43.2,206,0,0,0,0,0,0,297.54,0.054772255757642704,0.10000000000002274,308.91999999999996,0.04472135955194727,0.0,1603.6,169.49129771171087,-121.0,33.019999999999996,8.187307249639492,8.400000000000006,200.8,4.658325879541435,2.0,0.02000000000000455,0.0,-5.2,-1.0599999999999994,2.6
674,L47853,L,297.6,308.9,1449,47.7,209,0,0,0,0,0,0,297.56000000000006,0.0547722557574585,0.0,308.91999999999996,0.04472135955194727,0.0,1545.8,161.27833084453658,16.0,37.760000000000005,8.513694850063608,4.5,203.6,4.505552130428131,3.0,0.02000000000000455,0.0,-57.8,4.74,2.8
675,L47854,L,297.8,309.0,1456,41.2,0,0,0,0,0,0,0,297.62,0.10954451150423485,0.19999999999998863,308.93999999999994,0.05477225575210506,0.10000000000002274,1542.8,163.1462534047282,7.0,38.46,8.650317913232996,-6.5,164.2,91.8270112766391,-209.0,0.060000000000002274,0.02000000000000455,-3.0,0.7,-39.4
676,M15535,M,297.8,309.1,1424,45.5,2,0,0,0,0,0,0,297.65999999999997,0.1341640786524512,0.0,308.96,0.08944271910096391,0.10000000000002274,1463.2,52.31347818679035,-32.0,42.480000000000004,4.937306958251619,4.299999999999997,124.2,112.48199855976958,2.0,0.039999999999997725,0.02000000000000455,-79.6,4.0200000000000005,-40.0
677,H30090,H,297.9,309.2,1577,34.7,5,0,0,0,0,0,0,297.74000000000007,0.1341640786521398,0.0999999999999659,309.02,0.13038404810469645,0.0999999999999659,1467.8,62.34340382109235,153.0,42.46,4.976243563170903,-10.799999999999997,84.4,112.3935051504312,3.0,0.07999999999999545,0.060000000000002274,4.6,-0.019999999999998862,-39.8
678,L47857,L,297.9,309.2,1478,39.7,10,0,0,0,0,0,0,297.8,0.1224744871412742,0.0,309.08,0.13038404810466048,0.0,1476.8,59.23428061519607,-99.0,41.760000000000005,5.090972402203709,5.0,45.2,91.6444215432669,5.0,0.05999999999999091,0.060000000000002274,9.0,-0.7,-39.2
679,M15538,M,297.8,309.2,1295,61.2,12,0,0,0,0,0,0,297.84000000000003,0.05477225575490226,-0.0999999999999659,309.14,0.08944271910082568,0.0,1446.0,101.94361186459794,-183.0,44.46,10.122400900972059,21.5,5.8,5.118593556828069,2.0,0.039999999999997725,0.060000000000002274,-30.8,2.7,-39.4
680,L47859,L,297.8,309.2,1372,47.3,15,0,0,0,0,0,0,297.84,0.05477225575490226,0.0,309.18,0.04472135955160647,0.0,1429.2,106.69442347189376,77.0,45.68,9.998099819465697,-13.900000000000006,8.8,5.26307894677648,3.0,0.0,0.039999999999997725,-16.8,1.2199999999999989,3.0
681,M15540,M,297.8,309.1,1432,42.6,17,0,0,0,0,0,0,297.84000000000003,0.05477225575490226,0.0,309.17999999999995,0.04472135955160647,-0.0999999999999659,1430.8,106.65692663863793,60.0,45.1,10.094800641914627,-4.699999999999996,11.8,4.658325879541042,2.0,0.0,0.0,1.6,-0.5799999999999997,3.0
682,M15541,M,297.7,309.0,1656,33.2,20,0,0,0,0,0,0,297.8,0.07071067812234316,-0.10000000000002274,309.14,0.08944271910082568,-0.10000000000002274,1446.6,135.6421763316993,224.0,44.800000000000004,10.495475215539312,-9.399999999999999,14.8,3.9623225512320195,3.0,-0.039999999999997725,-0.039999999999997725,15.8,-0.3,3.0
683,H30096,H,297.8,309.0,1410,48.8,23,0,0,0,0,0,0,297.78000000000003,0.04472135955607856,0.10000000000002274,309.1,0.10000000000076692,0.0,1433.0,135.11476603243554,-246.0,46.62,10.174084725418796,15.599999999999994,17.4,4.277849927241701,3.0,-0.01999999999999318,-0.039999999999997725,-13.6,1.819999999999999,2.6
684,L47863,L,297.7,309.0,1874,24.4,28,0,0,0,0,0,0,297.76000000000005,0.0547722557556858,-0.10000000000002274,309.06,0.08944271910087295,0.0,1548.8,212.96290756843035,464.0,39.26,10.299902912163763,-24.4,20.6,5.128352561983411,5.0,-0.02000000000000455,-0.039999999999997725,115.8,-7.360000000000001,3.2
685,L47864,L,297.7,309.0,1538,43.2,30,0,0,0,0,0,0,297.73999999999995,0.05477225575589337,0.0,309.02,0.04472135955184478,0.0,1582.0,190.23669467271506,-336.0,38.44,9.641991495536569,18.800000000000004,23.6,5.412947441089911,2.0,-0.02000000000000455,-0.039999999999997725,33.2,-0.8199999999999988,3.0
686,M15545,M,297.7,309.0,1636,29.7,32,0,0,0,0,0,0,297.71999999999997,0.04472135955684119,0.0,309.0,0.0,0.0,1622.8,170.91869412091765,98.0,35.86,9.970857535839098,-13.500000000000004,26.6,4.979959839195675,2.0,-0.02000000000000455,-0.02000000000000455,40.8,-2.5800000000000005,3.0
687,M15546,M,297.7,309.0,1504,40.4,35,0,0,0,0,0,0,297.72,0.04472135955684119,0.0,309.0,0.0,0.0,1592.4,176.9485801016776,-132.0,37.3,10.010494493280511,10.7,29.6,4.5055521304277235,3.0,0.0,0.0,-30.4,1.439999999999999,3.0
